iter	Passed	Remaining
0	1	153
1	2	138
2	4	129
3	4	118
4	6	117
5	7	117
6	8	116
7	9	114
8	11	112
9	12	110
10	13	108
11	14	106
12	15	105
13	16	104
14	18	102
15	19	101
16	20	99
17	21	98
18	22	97
19	23	95
20	25	94
21	26	93
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	70
40	48	69
41	48	67
42	49	65
43	50	64
44	51	63
45	52	62
46	54	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	54
53	62	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	41
64	74	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	90	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
